Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,company_txt,age,python_yn,R_yn,spark,aws,excel
Data Scientist,"Job Description – Data Scientist

Location: Chennai or Bengaluru, India


Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman works proactively and collaboratively with its worldwide customers in pulp and paper, leather, and water treatment to deliver exceptional service and innovative specialty chemical solutions to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Job Description


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Basic Qualifications
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization and expertise in the following areas:
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis
Personality Traits
A strong business focus, ownership and inner self-drive to data science solutions to real-world customers with tangible impact.
Ability to collaborate effectively with multi-disciplinary and passionate team members.
Ability to communicate with a diverse set of stakeholders
Strong planning and organization skills, with the ability to manage multiple complex projects
A life-long learner who constantly updates skills",3.4,"Buckman
3.4",Chennai,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,₹50 to ₹100 billion (INR),-1,"Buckman
",75,1,0,0,0,0
Data Scientist,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4.0,"Quanticate
4.0",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR),"GCE Solutions, Parexel, IQVIA","Quanticate
",25,1,0,0,0,0
Data Scientist,"Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.6,"PayPal
3.6",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple","PayPal
",22,1,0,0,0,0
Data Scientist,"Introduction
• The role will involve running workshops to define the problem statement, identifying the data that is required, cleaning up the data, running feature engineering techniques and building / testing ML/DL models. A combination of one of more of IBM AI technologies from the Watson portfolio, Open Source and 3rd Party technologies will be used to be deliver the required outcomes.

Your Role and Responsibilities
The responsibility of a Data Scientists will include working with Sales, Tech Sales & IBM Clients to define an approach to Machine/Deep Learning problems, building the models and delivering them.
Required Technical and Professional Expertise
Python - 3-5 Years
Machine learning Model (Regression, Classification, Unsupervised techniques, ensemble modeling) - 2-3 Years (Mtech) / 0-1 Years (PhD)
Deep Learning models (Image, NLP, Structured data) - 1-2 Years (Mtech) / 0-1 Years (PhD)
Tech Sales, Sellers, Architects
Cloud native technologies
Agile development
Preferred Technical and Professional Expertise
Specialisation in any of the following fields - NLP, NLU, NLG, Computer Vision, Facial Recognition - 0-2 Years
Good communication
Active listener
About Business Unit
IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The companys Global Markets organization is a strategic sales business unit that manages IBMs global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Bengaluru,"Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,₹500+ billion (INR),"Amazon, Accenture, Microsoft","IBM
",109,1,0,0,0,0
Data Scientist,"At Amazon, we strive to be most customer-centric company on the earth. To get there, we need exceptionally talented, bright, dynamic and driven people to develop the next-generation technologies.
Are you champion of innovating on behalf of the customer by turning data insights into action? Do you want to be part of Amazons strategic and highly impactful finance and payroll technology projects? Amazons Finance Automation Payroll Tech team has an opportunity for a seasoned Data Scientist whose experience illustrates a clear ability to create world class machine learning systems to meet long-term Payroll needs.

At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon partners. We build, operate, and scale systems that are responsible for billions of dollars in transactions, and are central to the success of worldwide finance. We ""think globally, act locally"" to revolutionize a worldwide employee and customer experience and fulfill our promise to pay accurately, on-time, with lowest cost to Amazon.

As a Data Scientist at Finance Automation, you are self-driven leader with extensive experience in applying statistics and data science concepts to bring tangible benefits for global finance operations. Finance and Payroll domain knowledge is a plus but not required.

· Work with finance and payroll stakeholders to understand the organization goals, objectives, and pain points. Identify key areas to drive Machine Learning initiatives, define needle-moving business questions and success criteria.
· Collect and analyze finance, HR, and payroll data across multiple isolated systems. Derive actionable insights from large volumes of heterogeneous data.
· Create reliable and maintainable code to build regression, classification, clustering, and anomaly detection systems. Work closely with software engineers to develop data ingestion and visualization, and productionize your models.
· Partner with finance analysts, and payroll managers to deploy and test machine learning systems with your statistical models at the core. Automate feedback loops, tune, and improve the models in production.
· Train non-tech stakeholders and partners to effectively use your machine learning systems. Set the right expectations on model limitations and prove business value.
· Create and maintain business and technical artifacts such as requirements documentation, use cases, performance evaluation, and model metrics.
· Learn and utilize AWS technologies and Amazon machine learning systems to effectively work with terabytes of data.

Being part of Amazon Finance Automation gives you the opportunity to work in a rapidly growing organization with many high performing global technology teams. Come join us in making history!




Basic Qualifications

· Bachelor's or Masters degree in Statistics, Applied Math, Operations Research, Economics, Engineering or a related quantitative field with 5 years of working experience as a Data Scientist.
· In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
· Experience building productions systems with statistical analysis, data modeling, regression modeling and forecasting, time series analysis, and deep learning neural networks.
· Expertise in coding using one or more programming languages such as R, Python, MATLAB, and Spark to build machine learning models. Skilled in manipulating and processing data using libraries such as Scikit-learn, Pandas, and NumPy. Demonstrated experience in SQL and/or NoSQL data modeling.
· Experience processing, filtering, and presenting large quantities of data. Ability to design for performance, scalability, and availability.
· Excellent communication, analytical and problem-solving skills. Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives.
· Obsession with quality, operational excellence, and customer experience. Ability to convey rigorous mathematical concepts and considerations to non-experts.

Preferred Qualifications

· Passion to dive deep to resolve problems at their root, looking for failure patterns amenable to long-term solutions via simplification and automation.
· Experience in AWS is a huge plus. Functional knowledge of AWS platforms such as Sagemaker, S3, Glue, Dynamodb, and RedShift.
· Exposure to finance and payments domain is a plus.
· Deep understanding of data, application, server, and network security.
· Experience with agile or scrum methodology.",4.2,"Amazon
4.2",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart","Amazon
",26,1,0,1,1,1
Data Scientist,"What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates","Blue Yonder
",35,0,0,0,0,0
Data Scientist,"Driving Infinite Possibilities Within A Diversified, Global Organization


Data Scientist

Were looking for a new
team member who is motivated by cracking tough challenges with data, trained in
problem solving, and with an unending thirst for learning.
As a Data Scientist, you
will join a high-performing, global team, and assist with designing,
developing, and deploying data driven solutions for all Honeywell business
groups and functions. You will work closely with application architects to
integrate results into operational platforms, including Hadoop and NoSQL
architectures.
Additionally, the Data
Scientist role is expected to work within Honeywell to identify opportunities
for new growth and efficiencies based on data analyses both in adjacencies
based on previous engagements, as well as larger industry developments.
Specific Responsibilities
Develop data analytics, data modeling, mining,
pattern analysis, data visualization and machine learning solutions to address
customer needs
Foster relationships with business
team members by being proactive, displaying a thorough understanding of the
business processes and by recommending innovative solutions
Communicate project output in terms of
customer value, business objectives, and product opportunity
Promote data
science methods and processes across functions
Work with our businesses and
infrastructure teams to develop a strategy that will clearly outline how our
enterprise platforms can enable business growth & productivity and discover
efficiencies to drive costs out of the ISC.

CORPIT2020

You must have:

· Bachelors degree in Computer Science, Engineering, Applied Mathematics or related field

· Minimum of 4 years of experience with distributed storage and compute tools (e.g. Hive and Spark)
6-8 years of experience within Analytics
Experience with data visualization, Tableau preferred.
Understanding of machine learning techniques and algorithms, such as k-NN, Logistic/Linear Regression, Naive Bayes, SVM, Decision Forests, etc.
Knowledge of cloud platforms AWS, Google Cloud, Azure, SnowFlake
Strong knowledge of SQL, Python/R, query optimization and DBMS concepts
Advanced knowledge of excel
Strong analytical skills with an inherent ability to find, understand and work with large amounts of data.
We value:

· Experience bringing prototypes to production on Hadoop platforms and/or as containerized services
Experience with SAP HANA, Snowflake, Redshift and Tableau
· Experience with Streaming Analytics (i.e. Spark Streaming)

· Experience with Natural Language Processing

· Experience working with global teams

· Results driven with a positive can-do attitude.

· Thrives in a rapidly changing environment.

Additional Information
JOB ID: HRD94048
Category: Information Technology
Location: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,India
Exempt
Business Services",3.8,"Honeywell
3.8",Bengaluru,"Charlotte, NC",10000+ employees,1885,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"GE, Johnson Controls, United Technologies","Honeywell
",135,1,0,1,1,1
Data Scientist,"Senior Data Scientist

Responsibilities
Conduct large-scale data analysis and develop fraud prevention predictive models for financial institutions.
Mine and analyze data to drive optimization and improvement of product development and business strategies.
Maintain and analyze information about multiple clients’ models, to derive insights for clients and for enhancing risk model performance.
Help maintain and improve model development tools.
Take part in the formation of a new team and help setup practices and processes.


Qualifications
Advanced degree in a quantitative area (statistics, mathematics, physics, computer science, engineering)
Experience of 4-7 years with statistical model development. Deep and diverse experience with multiple statistical procedures and machine learning algorithms.
Strong general analytical skills, agility with using quantitative tools to solve analytical problems
Good oral and written communications skills, and ability to interact with engineers, software developers, project managers, business analysts, product managers and with clients.
Vast experience using SQL and modeling with Python.
Innovative aptitude and can-do approach.",3.9,"NICE Actimize
3.9",Pune,"Hoboken, NJ",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"SAS, Feedzai","NICE Actimize
",21,1,0,0,0,0
Data Scientist,"When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.4,"TTEC
3.4",Hyderabad,"Englewood, CO",10000+ employees,1982,Company - Public,Staffing & Outsourcing,Business Services,₹100 to ₹500 billion (INR),"Teleperformance, TaskUs, Convergys","TTEC
",38,1,0,0,1,1
Data Scientist,"Responsibilities for Data Scientist
Work with stakeholders throughout the organization to build proof of concepts for new business solutions.
Efficiently explore new data sources and assess data gathering techniques.
Help to conceptually frame and refine relevant business questions.
Build robust data pipelines.
Develop custom machine learning models and algorithms.
Coordinate with different functional teams to implement and productionize models while monitoring the performance.
Communicate findings to different stakeholders.
Essential Skills and Qualifications for Data Scientist
At least 3 years experience in a Data Science role
Strong critical thinking and problem-solving skills.
Experience using statistical computer languages (preferably python or R) to manipulate data and draw insights from large data sets.
Experience working with databases (e.g. SQL).
Profound knowledge of a variety of machine learning techniques (clustering, classification, regression, deep learning) and their real-world advatages/drawbacks.
Good knowledge of advanced statistical techniques and concepts (hypothesis testing, Bayesian statistics, properties of distributions) and experience with applications.
Excellent written and verbal communication skills for coordination and communication.
Curiosity and research attitude to learn new ideas and techniques.
Coding experience (preferably python) to write robust and high standard code; experience with version control (preferably git)
Its a bonus if you also have
Automotive
Deep learning
Probabilistic graphical models
Numerical optimization
Economics
-----------------------------------------------
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.

We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",3.5,"IHS Markit
3.5",Gurgaon,"London, United Kingdom",10000+ employees,2016,Company - Public,Consulting,Business Services,₹100 to ₹500 billion (INR),"Thomson Reuters, International Data Group","IHS Markit
",4,1,0,0,1,1
